reaction,rates,c1,c2
1,0.022917877831474563,1.0195043792994178,500.46076069551856
1,0.02196838663400191,0.9983698154158306,503.92251647271917
1,0.03181477612972844,1.996472906992975,505.2049140782451
1,0.03452927451817631,2.002327809273561,505.85325559690733
1,0.03871639217816194,3.020550173814201,499.11514550040783
1,0.03964245126718215,3.032000560823865,503.0361805471453
1,0.041910155875007314,3.9832756906226146,499.9125659289849
1,0.045874539237884863,4.007387830983006,502.79708940278334
1,0.05056174555589277,5.001078731046278,501.9919262175158
1,0.05019436672307276,4.988188898516724,497.2140916970612
1,0.05241106136373897,5.986337102714358,497.9763820503537
1,0.0508399600399962,6.0267462766256035,504.03855669409865
1,0.05047140048552847,7.001025892230755,498.9947195765924
1,0.05320606693782478,6.979091258027607,499.2792504771611
1,0.015964265660781032,4.958197585585195,27.53266598638753
1,0.011601620233000029,5.001177866776797,25.191539021465147
1,0.01887052731348856,5.002580281987638,46.62103153431579
1,0.020705392903082924,5.019053712494633,50.16423375689555
1,0.022974148174565563,5.009883341507585,75.2179827045317
1,0.02240279550707263,5.006367662939693,72.69519733917953
1,0.025977118835978898,4.987087242721216,100.46603201064845
1,0.029526443891967246,5.0001051268650025,96.07033591887688
1,0.033871550361535094,4.986106124237529,197.61153736902173
1,0.03623273706453504,5.021678897032406,200.64100977254108
1,0.03959784892084792,5.008528882554624,350.7013747568873
1,0.04220453971447786,4.986963574556246,351.89252687407287
1,0.042145565409118485,5.026345135343898,651.2244382999506
1,0.0412847951064237,5.016255560131456,645.7664250470312
